name,date,water_level_gf,inund_pred,gapfill_well
NB Wetland Well Shallow,2017-09-20,0.2675988667783217,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-21,0.249354711992352,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-22,0.23505193399560148,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-23,0.2215532162721907,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-24,0.20686359056396345,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-25,0.18933178219022537,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-26,0.1751253915056976,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-27,0.1662428993746502,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-28,0.15254004079641795,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-29,0.13237514423330032,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-09-30,0.11499609929273782,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-01,0.09844222516000033,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-02,0.08279983398442568,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-03,0.06554629705034955,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-04,0.0505858729480983,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-05,0.03428340855284783,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-06,0.01703920126011533,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-07,-0.00405447392653134,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-08,-0.02248379154565621,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-09,-5.769816462510771e-4,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-10,0.03784742632488536,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-11,0.01431209874892493,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-12,0.03273513386250754,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-13,0.03330120163618565,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-14,0.01530580603588042,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-15,0.00392500560251863,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-16,0.00334457419100748,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-17,-0.01685928986721343,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-18,-0.03791878815870413,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-19,-0.0548991515945495,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-20,-0.07009355269206052,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-21,-0.09129501956095878,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-22,-0.10876504422796164,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-23,-0.12228459683429736,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-24,-0.09135173375095776,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-25,-0.08453527568170027,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-26,-0.11074826947344996,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-27,-0.13232804573007198,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-28,-0.14648409106856114,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-29,-0.06874373165078933,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-30,0.133312688112895,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-10-31,0.1267191206281865,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-01,0.10736046727850582,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-02,0.0920397294601027,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-03,0.07642550419725254,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-04,0.05924360740568846,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-05,0.09992609912994878,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-06,0.10142539319597588,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-07,0.0952987869526722,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-08,0.18862410885096212,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-09,0.18648437738138832,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-10,0.17873511413298424,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-11,0.16831331453949586,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-12,0.15857835920766863,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-13,0.16292715990390386,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-14,0.16556294128993865,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-15,0.15732116671563717,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-16,0.15188221636454968,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-17,0.14403165814153618,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-18,0.1282067329999999,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-19,0.1400121164166667,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-20,0.15056834283333326,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-21,0.14181787058333312,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-22,0.1391056986388887,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-23,0.13553809491666652,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-24,0.12884512020833336,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-25,0.12386619568055592,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-26,0.11862455162499969,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-27,0.11133851059722238,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-28,0.10342789106944428,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-29,0.0975259075000001,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-11-30,0.09238588137499996,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-01,0.08686381431944443,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-02,0.08129288568055539,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-03,0.07725401552777758,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-04,0.07173513509722232,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-05,0.06683127329166658,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-06,0.09691442956944422,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-07,0.0944862213194442,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-08,0.08710599781944414,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-09,0.08172095563888869,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-10,0.08663720987500019,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-11,0.09531226533333292,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-12,0.10385135812499964,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-13,0.09603598327777783,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-14,0.08907568613888907,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-15,0.07866392005555509,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-16,0.07246982919444465,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-17,0.07377705358333335,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-18,0.07213594170833343,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-19,0.06699768593055593,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-20,0.06097284026388898,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-21,0.05365068415277806,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-22,0.04744278458333359,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-23,0.04797211840277807,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-24,0.07556333393055588,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-25,0.07720515394444451,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-26,0.06202371837499968,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-27,0.0496960825277776,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-28,0.03273438579166695,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-29,0.00792119912500024,1,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-30,-0.00586945166666705,0,TI Wetland Well Shallow
NB Wetland Well Shallow,2017-12-31,-0.01418335629166669,0,TI Wetland Well Shallow
