date,water_depth,water_level,water_level_gf,wetland,year,wateryear,inund,inund_gf,delta_1d,dir_1d,well_dry
2017-09-26,NA,NA,NA,BB,2017,2017,NA,NA,NA,NA,NA
2017-09-27,0.188831324061588,0.188831324061588,0.188831324061588,BB,2017,2017,1,1,NA,NA,0
2017-09-28,0.17442158250475123,0.17442158250475123,0.17442158250475123,BB,2017,2017,1,1,-0.014409741556836775,-1,0
2017-09-29,0.14962864423330027,0.14962864423330027,0.14962864423330027,BB,2017,2017,1,1,-0.02479293827145096,-1,0
2017-09-30,0.12849469283440448,0.12849469283440448,0.12849469283440448,BB,2017,2017,1,1,-0.02113395139889579,-1,0
2017-10-01,0.10893158249333368,0.10893158249333368,0.10893158249333368,BB,2017,2018,1,1,-0.019563110341070805,-1,0
2017-10-02,0.09235763460942578,0.09235763460942578,0.09235763460942578,BB,2017,2018,1,1,-0.016573947883907897,-1,0
2017-10-03,0.07088500617534957,0.07088500617534957,0.07088500617534957,BB,2017,2018,1,1,-0.021472628434076213,-1,0
2017-10-04,0.04930277532309832,0.04930277532309832,0.04930277532309833,BB,2017,2018,1,1,-0.021582230852251236,-1,0
2017-10-05,0.02583784013618107,0.02583784013618107,0.02583784013618107,BB,2017,2018,1,1,-0.023464935186917262,-1,0
2017-10-06,-0.00193816278155124,-0.00193816278155124,-0.00193816278155124,BB,2017,2018,0,0,-0.02777600291773231,-1,0
2017-10-07,-0.03626801600986465,-0.03626801600986465,-0.03626801600986465,BB,2017,2018,0,0,-0.03432985322831341,-1,0
2017-10-08,-0.06380577008732294,-0.06380577008732294,-0.06380577008732294,BB,2017,2018,0,0,-0.027537754077458287,-1,0
2017-10-09,-0.04567086197958444,-0.04567086197958444,-0.04567086197958444,BB,2017,2018,0,0,0.018134908107738497,1,0
2017-10-10,-0.01943423242511457,-0.01943423242511457,-0.01943423242511457,BB,2017,2018,0,0,0.02623662955446987,1,0
2017-10-11,-0.05094249575107491,-0.05094249575107491,-0.05094249575107491,BB,2017,2018,0,0,-0.03150826332596034,-1,0
2017-10-12,-9.761219708257468e-4,-9.761219708257468e-4,-9.76121970825746e-4,BB,2017,2018,0,0,0.049966373780249165,1,0
2017-10-13,0.01217392792785233,0.01217392792785233,0.01217392792785233,BB,2017,2018,1,1,0.013150049898678077,1,0
2017-10-14,-0.00270813504745276,-0.00270813504745276,-0.00270813504745277,BB,2017,2018,0,0,-0.0148820629753051,-1,0
2017-10-15,-0.0068351147724812,-0.0068351147724812,-0.00683511477248121,BB,2017,2018,0,0,-0.0041269797250284394,-1,0
2017-10-16,-0.0013768918089925,-0.0013768918089925,-0.0013768918089925,BB,2017,2018,0,0,0.005458222963488709,1,0
2017-10-17,-0.02448589565888003,-0.02448589565888003,-0.02448589565888004,BB,2017,2018,0,0,-0.023109003849887542,-1,0
2017-10-18,-0.05110393015870412,-0.05110393015870412,-0.05110393015870412,BB,2017,2018,0,0,-0.026618034499824077,-1,0
2017-10-19,-0.07393387488621603,-0.07393387488621603,-0.07393387488621603,BB,2017,2018,0,0,-0.02282994472751191,-1,0
2017-10-20,-0.09068892883597808,-0.09068892883597808,-0.09068892883597808,BB,2017,2018,0,0,-0.016755053949762053,-1,0
2017-10-21,-0.10848293403008372,-0.10848293403008372,-0.10848293403008372,BB,2017,2018,0,0,-0.017794005194105636,-1,0
2017-10-22,-0.12634061759157425,-0.12634061759157425,-0.12634061759157425,BB,2017,2018,0,0,-0.017857683561490534,-1,0
2017-10-23,-0.1365383509440819,-0.1365383509440819,-0.1365383509440819,BB,2017,2018,0,0,-0.010197733352507649,-1,0
2017-10-24,-0.11770567663772592,-0.11770567663772592,-0.11770567663772592,BB,2017,2018,0,0,0.018832674306355976,1,0
2017-10-25,-0.11528337938590336,-0.11528337938590336,-0.11528337938590336,BB,2017,2018,0,0,0.0024222972518225666,1,0
