wetland,median,max,iqr,duration,exposure,recession
BB,0.309842283625,0.5010705876666663,0.48638625804166674,264,209,-1.5824425680555692
DB,0.5868579194583333,1.1107369450416669,0.9134874823749992,293,242,-1.827210775000021
DK,0.4256246226771216,0.7069671173597647,0.6357561612917312,291,212,-1.442443509722218
GN,0.48932621652383534,0.6203746884637505,0.537943280867857,284,257,-0.8589729796875001
JA,0.27187612145833295,0.5324305145833336,0.60262265375,231,184,-1.8519602291666541
JB,0.3939694648841911,0.6833388659684098,0.6670232627606538,264,230,-1.1244183347221821
JC,0.2541671251249997,0.5568540117916668,0.599366985208334,247,207,-1.096057372222192
NB,0.18008932430167457,0.5691217633214745,0.9187115798960056,228,192,-1.5688463013889038
ND,0.6584141956666667,1.0941288673750005,0.9815049307916668,284,245,-1.3756306055555219
QB,0.5059135161666665,0.794914910666667,0.8396713385833332,251,229,-1.090463075000025
TA,0.4231655627500003,1.0527513128333332,1.1614228404999996,244,212,-1.822005954166652
TB,0.5956590274166668,0.8822831996666668,0.8401674899583336,270,242,-1.427395558333366
